,Location,Latitude,Longitude,Venue,VenueLatitude,VenueLongitude,VenueCategory
156,6,51.484516631665095,-0.15069016413950362,The Market,51.482595308213206,-0.14871440039731745,Grocery Store
157,6,51.484516631665095,-0.15069016413950362,Ranelagh Gardens,51.48738811414148,-0.1516619395092754,Garden
158,6,51.484516631665095,-0.15069016413950362,Vagabond Wines,51.482539,-0.146898,Wine Bar
159,6,51.484516631665095,-0.15069016413950362,Sainsbury's Local,51.488235524751694,-0.15071964394757664,Grocery Store
160,6,51.484516631665095,-0.15069016413950362,No 29 Power Station West,51.48338916703208,-0.1468368520129888,Gastropub
161,6,51.484516631665095,-0.15069016413950362,Lister Hospital Bus Stop CK,51.48614749169948,-0.1501948914412841,Bus Stop
162,6,51.484516631665095,-0.15069016413950362,Harbour Club Tennis Courts,51.4829072576527,-0.14924872739034875,Tennis Court
163,6,51.484516631665095,-0.15069016413950362,M&G Vip Lounge :-),51.48618496667321,-0.1536220619794548,American Restaurant
164,6,51.484516631665095,-0.15069016413950362,Turbine Theatre,51.483058481655625,-0.14702796936035156,Theater
165,6,51.484516631665095,-0.15069016413950362,Grosvenor Waterside Gym & Spa,51.48684744484856,-0.14821038297683353,Athletics & Sports
166,6,51.484516631665095,-0.15069016413950362,TotalFit,51.487396644011646,-0.14933463217984927,Athletics & Sports
167,6,51.484516631665095,-0.15069016413950362,Pier Point Cafe,51.482052458149305,-0.15540177084557422,Café
168,6,51.484516631665095,-0.15069016413950362,Archlight Cinemas,51.48247051995387,-0.14698505401611328,Movie Theater
169,6,51.484516631665095,-0.15069016413950362,Battersea Power Station Pier,51.48386055569876,-0.1457816345711014,Pier
170,6,51.484516631665095,-0.15069016413950362,Pestana Chelsea Bridge Hotel Bar,51.481601,-0.14881,Bar
171,6,51.484516631665095,-0.15069016413950362,Battersea Park Tennis Courts,51.48167523625991,-0.15288413836208675,Tennis Court
172,6,51.484516631665095,-0.15069016413950362,Tapas Brindisa Battersea,51.483258,-0.145886,Spanish Restaurant
173,6,51.484516631665095,-0.15069016413950362,The Spring,51.482716,-0.146147,Gym / Fitness Center
174,6,51.484516631665095,-0.15069016413950362,Circus West Village,51.48183380544999,-0.14701405819745786,Plaza
175,7,51.48416601970012,-0.13630643412369728,Waitrose & Partners,51.482449341985216,-0.13494093555186737,Supermarket
176,7,51.48416601970012,-0.13630643412369728,District,51.48194510155285,-0.13474568301836687,Coffee Shop
177,7,51.48416601970012,-0.13630643412369728,The Black Cab Coffee Co,51.48248534436551,-0.13645201921463013,Coffee Shop
178,7,51.48416601970012,-0.13630643412369728,Pimlico Gardens,51.48570459013412,-0.1335603405796305,Garden
179,7,51.48416601970012,-0.13630643412369728,Dolphin Square Sports Club,51.486963990485584,-0.1365037131734909,Gym Pool
180,7,51.48416601970012,-0.13630643412369728,Riverwalk,51.48371283894475,-0.13169347305727883,Trail
181,7,51.48416601970012,-0.13630643412369728,Dolphin Gym,51.48657073218397,-0.13673350967329284,Gym
182,7,51.48416601970012,-0.13630643412369728,St Georges Square,51.485790026477375,-0.1345004649784202,Plaza
183,7,51.48416601970012,-0.13630643412369728,Linnaean,51.482418,-0.135371,Restaurant
184,7,51.48416601970012,-0.13630643412369728,Dolphin Square,51.487092317169285,-0.1367096937282827,Plaza
185,7,51.48416601970012,-0.13630643412369728,Nine Elms Tavern,51.48252492079688,-0.13732766762058335,Bar
